note	pdf	source	status
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/On Self-Contact and Human Pose (TUCH).md	99 Assets/Papers/CVPR 2027/On Self-Contact and Human Pose (TUCH).pdf	https://arxiv.org/pdf/2104.03176	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/Generative Modeling of Shape-Dependent Self-Contact Human Poses.md	99 Assets/Papers/CVPR 2027/Generative Modeling of Shape-Dependent Self-Contact Human Poses.pdf	https://arxiv.org/pdf/2509.23393	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/Contact-Aware Refinement of Human Pose Pseudo-Ground Truth via Bioimpedance Sensing.md	99 Assets/Papers/CVPR 2027/Contact-Aware Refinement of Human Pose Pseudo-Ground Truth via Bioimpedance Sensing.pdf	https://openaccess.thecvf.com/content/ICCV2025/papers/Forte_Contact-Aware_Refinement_of_Human_Pose_Pseudo-Ground_Truth_via_Bioimpedance_Sensing_ICCV_2025_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/Decaf Monocular Deformation Capture for Face and Hand Interactions.md	99 Assets/Papers/CVPR 2027/Decaf Monocular Deformation Capture for Face and Hand Interactions.pdf	https://arxiv.org/pdf/2309.16670	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/DICE End-to-end Deformation Capture of Hand-Face Interactions from a Single Image.md	99 Assets/Papers/CVPR 2027/DICE End-to-end Deformation Capture of Hand-Face Interactions from a Single Image.pdf	https://arxiv.org/pdf/2406.17988	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/Capturing Head Avatar with Hand Contacts from a Monocular Video.md	99 Assets/Papers/CVPR 2027/Capturing Head Avatar with Hand Contacts from a Monocular Video.pdf	https://arxiv.org/pdf/2510.17181	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/SMPLer-X Scaling Up Expressive Human Pose and Shape Estimation.md	99 Assets/Papers/CVPR 2027/SMPLer-X Scaling Up Expressive Human Pose and Shape Estimation.pdf	https://arxiv.org/pdf/2309.17448	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/SAM 3D Body Robust Full-Body Human Mesh Recovery.md	99 Assets/Papers/CVPR 2027/SAM 3D Body Robust Full-Body Human Mesh Recovery.pdf	https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_SAM_3D_Body_Robust_Full-Body_Human_Mesh_Recovery_CVPR_2026_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/Enhancing Hands in 3D Whole-Body Pose Estimation with Conditional Hands Modulator.md	99 Assets/Papers/CVPR 2027/Enhancing Hands in 3D Whole-Body Pose Estimation with Conditional Hands Modulator.pdf	https://openaccess.thecvf.com/content/CVPR2026/papers/Moon_Enhancing_Hands_in_3D_Whole-Body_Pose_Estimation_with_Conditional_Hands_CVPR_2026_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/DPMesh Exploiting Diffusion Prior for Occluded Human Mesh Recovery.md	99 Assets/Papers/CVPR 2027/DPMesh Exploiting Diffusion Prior for Occluded Human Mesh Recovery.pdf	https://openaccess.thecvf.com/content/CVPR2024/papers/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/OnlineHMR Video-based Online World-Grounded Human Mesh Recovery.md	99 Assets/Papers/CVPR 2027/OnlineHMR Video-based Online World-Grounded Human Mesh Recovery.pdf	https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_OnlineHMR_Video-based_Online_World-Grounded_Human_Mesh_Recovery_CVPR_2026_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/SocialGesture Delving into Multi-person Gesture Understanding.md	99 Assets/Papers/CVPR 2027/SocialGesture Delving into Multi-person Gesture Understanding.pdf	https://openaccess.thecvf.com/content/CVPR2025/papers/Cao_SocialGesture_Delving_into_Multi-person_Gesture_Understanding_CVPR_2025_paper.pdf	OK
02 Research/Thesis Reading List — Self-Adaptors & Discourse-Planning Difficulty/ActionFormer Localizing Moments of Actions with Transformers.md	99 Assets/Papers/CVPR 2027/ActionFormer Localizing Moments of Actions with Transformers.pdf	https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136640485.pdf	OK
